"p","arc_length","Points:0","Points:1","Points:2"
-3.3718,0.22155,-0.3056,0.3787,0.23485
-3.3711,0.22307,-0.3056,0.3787,0.23638
-3.3704,0.2246,-0.3056,0.3787,0.2379
-3.3696,0.22612,-0.3056,0.3787,0.23943
-3.3687,0.22765,-0.3056,0.3787,0.24095
-3.368,0.22917,-0.3056,0.3787,0.24248
-3.3673,0.2307,-0.3056,0.3787,0.244
-3.3665,0.23222,-0.3056,0.3787,0.24553
-3.3659,0.23375,-0.3056,0.3787,0.24705
-3.3653,0.23527,-0.3056,0.3787,0.24858
-3.3645,0.2368,-0.3056,0.3787,0.2501
-3.3638,0.23832,-0.3056,0.3787,0.25163
-3.3632,0.23985,-0.3056,0.3787,0.25315
-3.3624,0.24137,-0.3056,0.3787,0.25468
-3.3616,0.2429,-0.3056,0.3787,0.2562
-3.3609,0.24442,-0.3056,0.3787,0.25773
-3.3604,0.24595,-0.3056,0.3787,0.25925
-3.3598,0.24747,-0.3056,0.3787,0.26077
-3.3591,0.249,-0.3056,0.3787,0.2623
-3.3583,0.25052,-0.3056,0.3787,0.26382
-3.3575,0.25205,-0.3056,0.3787,0.26535
-3.3566,0.25357,-0.3056,0.3787,0.26687
-3.3559,0.2551,-0.3056,0.3787,0.2684
-3.3552,0.25662,-0.3056,0.3787,0.26992
-3.3543,0.25815,-0.3056,0.3787,0.27145
-3.3536,0.25967,-0.3056,0.3787,0.27297
-3.353,0.2612,-0.3056,0.3787,0.2745
-3.3522,0.26272,-0.3056,0.3787,0.27602
-3.3514,0.26425,-0.3056,0.3787,0.27755
-3.3506,0.26577,-0.3056,0.3787,0.27907
-3.3498,0.2673,-0.3056,0.3787,0.2806
-3.349,0.26882,-0.3056,0.3787,0.28212
-3.3482,0.27035,-0.3056,0.3787,0.28365
-3.3472,0.27187,-0.3056,0.3787,0.28517
-3.3463,0.2734,-0.3056,0.3787,0.2867
-3.3454,0.27492,-0.3056,0.3787,0.28822
-3.3446,0.27645,-0.3056,0.3787,0.28975
-3.3436,0.27797,-0.3056,0.3787,0.29127
-3.3425,0.2795,-0.3056,0.3787,0.2928
-3.3416,0.28102,-0.3056,0.3787,0.29432
-3.3405,0.28255,-0.3056,0.3787,0.29585
-3.3394,0.28407,-0.3056,0.3787,0.29737
-3.3384,0.2856,-0.3056,0.3787,0.2989
-3.3373,0.28712,-0.3056,0.3787,0.30042
-3.3362,0.28865,-0.3056,0.3787,0.30195
-3.3351,0.29017,-0.3056,0.3787,0.30347
-3.334,0.2917,-0.3056,0.3787,0.305
-3.3327,0.29322,-0.3056,0.3787,0.30652
-3.3315,0.29475,-0.3056,0.3787,0.30805
-3.3302,0.29627,-0.3056,0.3787,0.30957
-3.3292,0.2978,-0.3056,0.3787,0.3111
-3.3281,0.29932,-0.3056,0.3787,0.31262
-3.3267,0.30085,-0.3056,0.3787,0.31415
-3.3253,0.30237,-0.3056,0.3787,0.31567
-3.3239,0.3039,-0.3056,0.3787,0.3172
-3.3224,0.30542,-0.3056,0.3787,0.31872
-3.321,0.30695,-0.3056,0.3787,0.32025
-3.3194,0.30847,-0.3056,0.3787,0.32177
-3.3179,0.31,-0.3056,0.3787,0.3233
-3.3163,0.31152,-0.3056,0.3787,0.32482
-3.3147,0.31305,-0.3056,0.3787,0.32635
-3.313,0.31457,-0.3056,0.3787,0.32787
-3.3113,0.3161,-0.3056,0.3787,0.3294
-3.3095,0.31762,-0.3056,0.3787,0.33092
-3.3075,0.31915,-0.3056,0.3787,0.33245
-3.3056,0.32067,-0.3056,0.3787,0.33397
-3.3038,0.3222,-0.3056,0.3787,0.3355
-3.3019,0.32372,-0.3056,0.3787,0.33702
-3.2998,0.32525,-0.3056,0.3787,0.33855
-3.2977,0.32677,-0.3056,0.3787,0.34007
-3.2956,0.3283,-0.3056,0.3787,0.3416
-3.2934,0.32982,-0.3056,0.3787,0.34312
-3.2911,0.33135,-0.3056,0.3787,0.34465
-3.2887,0.33287,-0.3056,0.3787,0.34617
-3.2863,0.3344,-0.3056,0.3787,0.3477
-3.2838,0.33592,-0.3056,0.3787,0.34923
-3.2812,0.33745,-0.3056,0.3787,0.35075
-3.2785,0.33897,-0.3056,0.3787,0.35228
-3.2758,0.3405,-0.3056,0.3787,0.3538
-3.2729,0.34202,-0.3056,0.3787,0.35533
-3.2699,0.34355,-0.3056,0.3787,0.35685
